店铺名称,人均消费,分类名称,所在区域,口味评分,环境评分,服务评分,商品编号,店铺星级
東發道茶冰厅,85,小吃,人民广场,8.1,8.0,8.0,83467055,40
电台巷火锅,148,重庆火锅,人民广场,8.8,8.4,8.8,126049371,45
上隐水产海鲜自助餐厅,319,自助餐,淮海路,9.0,8.4,8.7,101938403,45
霜花店韩国料理,75,韩国料理,徐家汇,9.1,8.5,8.9,130179066,50
Shake Shack,100,西式简餐,淮海路,8.5,8.2,8.7,113989989,45
点都德,117,粤菜馆,北外滩,8.8,8.7,8.5,126094542,45
亚马逊环球美食百汇,304,自助餐,浦东新区,8.7,8.8,8.9,112615837,45
YK烧肉居酒屋,176,日本料理,打浦桥,9.1,9.1,9.1,125892574,50
人和馆,129,上海本帮菜,徐家汇,9.0,9.2,9.0,17182037,50
珮姐老火锅,159,重庆火锅,南京西路,8.0,7.9,8.3,130354969,40
Mr Nice好好先生餐厅,140,西餐,月星环球港,7.8,8.0,7.8,67087734,40
Ultraviolet by Paul Pairet,5712,法国菜,外滩,9.2,9.4,9.4,6184500,50
東盛碳烤自助料理,105,自助餐,张江,8.6,8.7,8.5,127437571,45
黄公子,3661,私房菜,徐家汇,9.2,9.2,9.2,95964098,50
五月罗马海鲜自助餐厅,142,自助餐,月星环球港,8.3,8.2,8.3,76948810,45
金龙蛇料理,286,打边炉/港式火锅,四川北路,9.0,7.8,8.4,2006080,45
一緒に寿喜烧,178,自助餐,五角场/大学区,9.1,9.0,9.0,126219090,50
魔丼屋,137,日本料理,打浦桥,8.1,8.0,8.4,97889043,40
友达面馆,54,面馆,大宁地区,8.2,8.5,8.3,95372109,40
妈妈家,84,上海本帮菜,打浦桥,8.8,7.8,8.1,22038150,45
In Dough We Trust,60,咖啡厅,音乐学院,7.8,7.8,7.8,102464316,40
FLAIR 顶层餐厅酒吧,393,特色菜,陆家嘴,8.3,9.2,8.8,3891871,50
Wolfgang’s Steakhouse 沃夫冈牛排馆,1047,牛排,北外滩,9.0,9.1,8.7,122728258,50
GREEN & SAFE,190,西餐,新天地,8.5,8.9,8.3,67519205,45
南麓·浙里,261,浙菜,外滩,8.8,9.0,8.9,6874180,50
荣新馆,368,日式自助,虹桥,9.1,9.1,9.1,18615887,50
滑板鸡skateboard  Chicken,88,韩国料理,五角场/大学区,8.1,8.8,9.0,129336139,45
蟹黄鱼,81,面馆,新天地,8.6,8.2,8.3,32572563,45
荟廷·晶萃,252,上海本帮菜,打浦桥,9.1,9.1,8.9,113125360,50
元朗冰室,88,茶餐厅,淮海路,8.0,8.0,7.8,121894837,40
鼎王无老锅,172,火锅,静安寺,9.1,9.1,9.2,22181024,50
耕海蟹将军,327,日本料理,浦东新区,9.1,9.2,9.1,111875610,50
心樂麵館,56,面馆,淮海路,8.4,8.3,8.2,59293904,40
浅草六丁目,141,日本料理,南京西路,8.7,8.5,8.9,92652327,45
哥老官重庆美蛙鱼头,142,重庆火锅,人民广场,9.1,8.5,8.8,19612173,50
荣先森,85,闽南菜,徐家汇,9.2,9.0,9.1,130188458,50
付小姐在成都,82,串串香,打浦桥,9.1,8.6,9.0,77217307,50
虫二酒肆,94,苏浙菜,徐家汇,8.6,8.9,8.7,76735408,45
红盔甲,196,小龙虾,人民广场,9.1,8.9,9.1,59252131,50
泰廊,204,泰国菜,静安寺,8.6,9.2,8.8,504634,50
蟹家大院,323,大闸蟹,外滩,9.0,9.2,9.2,76839581,50
谭鸭血老火锅,150,四川火锅,月星环球港,8.5,8.5,8.4,110313559,45
江南里,84,浙菜,月星环球港,8.8,8.8,8.8,68948071,45
琵琶蛮·钟鼓馔玉,81,淮扬菜,人民广场,8.9,9.2,9.1,127227298,50
超点,121,粤菜馆,八佰伴,8.4,8.9,9.0,122876121,45
潮界,90,潮汕菜,打浦桥,9.2,9.0,9.2,113122916,50
同一战蚝高压锅竹笼生蚝专门店,108,江河湖海鲜,庙行/共康,9.1,8.4,8.9,130610094,50
南京大牌档,69,南京菜,人民广场,8.4,8.4,8.2,15123172,45
Spacelab失重餐厅,143,西餐,世纪大道,8.0,9.1,8.6,108326453,45
翠亭酒家,104,上海本帮菜,南京东路,8.8,7.9,8.7,500940,45
牛小新烧肉屋,125,日式烧烤/烤肉,淮海路,9.1,9.0,8.9,69648904,50
雲和面馆YUNHENOODLE,93,面馆,徐家汇,8.8,7.9,7.8,97282572,40
汴京茶寮,32,茶饮果汁,打浦桥,8.3,8.4,8.4,129393746,45
蚝吃蚝喝 高压锅竹笼生蚝七宝店,103,海鲜,七宝,9.1,8.9,9.0,131364805,45
喜三胖•高压锅生蚝龙虾先创者,109,海鲜,虹桥镇,8.5,7.8,7.9,130387149,40
舞渔日料美人胶原锅,140,日本料理,徐家汇,9.1,9.0,9.1,97849102,50
香港華心糖水鋪,72,甜品,南京西路,7.9,7.8,7.9,95356760,40
平成屋,107,日本料理,漕河泾/田林,9.0,9.0,9.1,103666998,50
晶焱上海菜,126,上海本帮菜,徐家汇,9.1,8.5,8.6,100944436,50
香港寶林糖水鋪,48,甜品,新天地,8.1,8.3,8.2,130689602,40
牛New寿喜烧,142,自助餐,南京东路,9.1,9.0,8.9,70444901,50
转角·上海老弄堂,147,上海本帮菜,淮海路,8.5,8.7,8.3,19804519,45
一棠龙虾,190,小龙虾,打浦桥,9.0,8.9,8.8,110434379,45
烧货煮厂,164,烧烤,五角场/大学区,8.7,7.8,8.8,98869341,45
火烧云傣家菜,106,云南菜|滇菜,静安寺,8.5,8.7,9.0,97333961,45
王宝和大酒店,265,自助餐,南京东路,8.8,8.8,8.9,501252,45
楼上火锅,480,打边炉/港式火锅,淮海路,9.1,8.7,9.1,73498668,50
RAC BAR,123,法国菜,复兴西路/丁香花园,8.5,8.9,8.5,97715078,45
1886德国汽车餐厅,176,西餐,外滩,9.0,9.1,9.0,72468264,50
清真·贯贯吉穆斯林餐厅,80,甘肃菜,人民广场,9.1,8.3,8.7,3123985,45
小大董,151,京菜,打浦桥,8.7,9.0,8.9,112229048,45
蟹蚝面道,57,面馆,中山公园,9.1,8.7,8.9,130187946,50
三个蒙古大叔烤羊肉串,126,烤串,大宁地区,9.1,8.9,9.1,97695048,50
御宝轩,378,粤菜馆,外滩,9.0,9.1,8.7,6145588,45
香港百合居,162,粤菜馆,天山,9.0,8.8,8.6,23090317,45
掌柜,114,其他中餐,南京东路,9.0,9.1,9.1,122005614,50
很久以前羊肉串,119,烧烤,五角场/大学区,9.1,9.0,9.1,27163125,50
东方明珠空中旋转餐厅,335,自助餐,陆家嘴,7.0,8.7,7.6,32814325,40
日食记,46,小吃快餐,人民广场,8.3,8.8,8.5,114788049,45
新荣记,439,苏浙菜,南京西路,9.2,9.2,9.2,21035069,50
桂满陇-枕水江南,85,浙菜,人民广场,8.7,9.1,8.9,120161294,45
梅匠小酒馆,132,日本料理,新天地,9.1,8.8,8.9,95543198,45
面包咖啡好天气パンカフェ日和,58,咖啡厅,音乐学院,8.2,8.6,8.6,130961171,45
新上海,130,上海本帮菜,打浦桥,9.0,8.7,8.9,27421074,45
salée bar&cafe,186,法国菜,静安寺,8.5,9.0,8.5,114511872,45
顶层酒吧·ROOF,265,西餐,南京东路,8.4,9.2,9.0,112262574,50
万岛日本料理铁板烧,374,日式自助,静安寺,9.1,8.7,9.0,6061638,50
太二酸菜鱼,102,酸菜鱼/水煮鱼,徐家汇,9.0,9.0,9.0,96366362,50
新白鹿餐厅,67,浙菜,南京东路,8.4,8.5,8.4,8009245,45
泰妃殿,101,泰国菜,中山公园,9.0,9.1,9.2,68003211,50
何洪记,116,粤菜馆,南京西路,8.5,8.5,8.5,91015781,45
海底捞火锅,141,火锅,八佰伴,9.1,9.1,9.3,4271630,50
柴府·豆柴咖啡厅体验馆,107,咖啡厅,龙华,8.3,8.9,9.0,130184695,45
曼哈顿自助海鲜·精选,167,自助餐,虹口足球场,9.0,8.9,9.0,110785826,50
鮨鲜きたじま日本料理,270,日本料理,徐家汇,9.0,9.1,9.0,114849833,45
粉家柳州螺蛳粉,44,米粉,上海影城/新华路,8.6,7.9,8.1,5731820,40
東發道·朱雀打边炉,136,打边炉/港式火锅,上海影城/新华路,9.2,9.1,9.1,129435991,50
Highline,302,西餐,淮海路,8.7,9.1,8.5,69202191,45
映水芙蓉,166,川菜家常菜,淮海路,9.1,9.2,9.2,102292618,50
ORO意大利提拉米苏,61,甜品,淮海路,8.2,8.3,8.5,107726284,40
胡大饭馆,166,川菜家常菜,北新桥/簋街,9.0,8.5,8.6,510660,50
香守·花胶鸡海鲜火锅,309,海鲜火锅,大望路,9.2,9.3,9.2,111599817,50
四季民福烤鸭店,156,烤鸭,王府井/东单,9.2,9.2,9.2,32333630,50
电台巷火锅,143,重庆火锅,三里屯,8.6,8.4,8.6,113942879,45
三泉冷面,61,韩国料理,望京,8.9,8.6,8.8,1998391,45
第六季自助餐厅,271,自助餐,紫竹桥,9.1,9.0,9.2,69719009,50
筑底食堂,161,日本料理,三里屯,8.6,8.2,8.5,93507832,45
西四包子铺,29,包子,西四,7.9,7.3,7.5,102474045,40
就在四楼,101,西餐,次渠,8.9,9.2,9.1,128328637,50
京兆尹,685,素食,雍和宫/地坛,9.2,9.4,9.3,5618484,50
行运打边炉,277,打边炉/港式火锅,亮马桥/三元桥,9.1,8.8,8.7,93389432,50
千牛刀·霸气牛肉锅,124,牛羊肉火锅,望京,9.1,8.9,9.0,123869591,50
小吊梨汤,94,京菜,王府井/东单,9.1,9.2,9.1,127544931,50
拾久,227,烤鸭,双井,9.1,9.1,8.9,96441483,50
付小姐在成都,84,串串香,青年路,9.1,8.6,8.9,93441313,50
Mr.Fish鱼鲜生海鲜放题餐厅,409,自助餐,国贸,8.5,9.0,8.7,110824472,45
会飞的鸡Flying chicken,56,韩国料理,双井,9.0,8.0,9.0,18623249,50
满恒记清真涮羊肉,100,老北京火锅,阜成门,9.2,8.5,8.9,8291516,50
锦府盐帮·李宅,127,自贡盐帮菜,中关村,9.1,9.3,9.2,98062818,50
麻辣烫,37,麻辣烫,朝阳公园/团结湖,8.4,8.1,8.1,19475972,45
小海堂·首创海堂一品煲,236,粤菜馆,亮马桥/三元桥,9.1,9.1,9.0,108173485,50
燕郊烧鸽子,115,东北家常菜,朝阳区,9.1,8.8,8.4,3178141,50
聚宝源,112,老北京火锅,牛街,9.2,8.1,8.1,513329,45
九本しんいち居酒屋,173,日本料理,中关村,9.1,9.2,9.2,98606619,50
炖菜馆,73,炖菜,青年路,8.9,7.2,8.2,103018255,45
THE TACO BAR,138,西餐,三里屯,9.2,8.9,9.0,8878704,50
日进一片海,232,海鲜,三里屯,8.9,8.9,8.9,4665606,50
